,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
2.2,5.7,3.520,118.395,3.836,205.054,47.380,111.732,51.891,1141.602,411.121,846.301
2.2,6,3.520,118.352,3.810,209.480,47.075,114.124,51.545,1133.983,417.616,859.572
2.4,0,3.527,117.786,4.293,138.759,53.676,68.501,58.602,1289.241,300.421,625.466
2.4,0.3,3.528,117.744,4.270,141.571,53.331,70.610,58.249,1281.468,305.613,635.538
2.4,0.6,3.528,117.701,4.247,144.445,52.984,72.751,57.895,1273.695,310.868,645.766
2.4,0.9,3.529,117.659,4.224,147.382,52.637,74.923,57.542,1265.918,316.191,656.154
2.4,1.2,3.529,117.617,4.201,150.384,52.292,77.115,57.187,1258.111,321.600,666.715
2.4,1.5,3.529,117.574,4.177,153.453,51.949,79.317,56.832,1250.297,327.082,677.426
2.4,1.8,3.530,117.532,4.154,156.591,51.611,81.519,56.478,1242.509,332.615,688.257
2.4,2.1,3.530,117.490,4.130,159.802,51.280,83.707,56.125,1234.748,338.198,699.196
2.4,2.4,3.531,117.447,4.107,163.087,50.951,85.905,55.774,1227.018,343.827,710.267
2.4,2.7,3.531,117.405,4.083,166.449,50.622,88.129,55.421,1219.271,349.542,721.525
2.4,3,3.532,117.363,4.059,169.890,50.295,90.375,55.068,1211.502,355.347,732.975
2.4,3.3,3.532,117.321,4.035,173.415,49.967,92.656,54.714,1203.715,361.239,744.630
2.4,3.6,3.533,117.278,4.010,177.025,49.638,94.971,54.362,1195.963,367.181,756.456
2.4,3.9,3.533,117.236,3.986,180.724,49.312,97.297,54.014,1188.316,373.119,768.377
2.4,4.2,3.534,117.194,3.961,184.515,48.988,99.637,53.669,1180.715,379.098,780.443
2.4,4.5,3.534,117.152,3.937,188.401,48.669,101.972,53.328,1173.210,385.077,792.602
2.4,4.8,3.535,117.110,3.912,192.387,48.358,104.284,52.990,1165.782,391.070,804.851
2.4,5.1,3.535,117.067,3.887,196.476,48.052,106.583,52.651,1158.327,397.163,817.290
2.4,5.4,3.536,117.025,3.861,200.673,47.747,108.903,52.310,1150.825,403.374,829.975
2.4,5.7,3.536,116.983,3.836,204.981,47.443,111.244,51.967,1143.280,409.702,842.909
2.4,6,3.537,116.941,3.810,209.405,47.138,113.626,51.621,1135.666,416.173,856.145
2.6,0,3.543,116.381,4.293,138.709,53.708,68.308,58.659,1290.509,299.580,622.977
2.6,0.3,3.544,116.339,4.270,141.520,53.363,70.408,58.307,1282.763,304.744,633.011
